filename,width,height,class,xmin,ymin,xmax,ymax
pic_004.jpg,225,225,cabbage,36,29,202,195
pic_067.jpg,259,194,cabbage,82,14,205,178
pic_152.jpg,275,183,cabbage,130,54,262,183
pic_152.jpg,275,183,cabbage,39,42,128,144
pic_152.jpg,275,183,cabbage,180,1,274,83
pic_045.jpg,255,197,cabbage,29,15,227,167
pic_131.jpg,243,207,cabbage,5,38,233,187
pic_017.jpg,240,160,cabbage,22,74,62,120
pic_017.jpg,240,160,cabbage,158,78,216,135
pic_078.jpg,259,194,cabbage,130,87,205,147
pic_010.jpg,204,142,cabbage,7,10,204,134
pic_105.jpg,259,194,cabbage,15,110,114,194
pic_105.jpg,259,194,cabbage,110,133,231,194
pic_105.jpg,259,194,cabbage,133,25,257,150
pic_105.jpg,259,194,cabbage,42,25,135,103
pic_122.jpg,266,189,cabbage,106,81,214,179
pic_122.jpg,266,189,cabbage,3,80,107,185
pic_122.jpg,266,189,cabbage,200,30,264,137
pic_122.jpg,266,189,cabbage,101,8,202,86
pic_122.jpg,266,189,cabbage,32,32,125,97
pic_091.jpg,259,194,cabbage,87,42,208,152
pic_077.jpg,259,194,cabbage,54,11,219,178
pic_128.jpg,249,202,cabbage,26,26,170,163
pic_066.jpg,259,194,cabbage,43,88,142,183
pic_066.jpg,259,194,cabbage,153,76,240,175
pic_066.jpg,259,194,cabbage,75,12,179,88
pic_002.jpg,225,225,cabbage,9,31,215,190
pic_055.jpg,259,194,cabbage,62,58,160,147
pic_023.jpg,240,200,cabbage,154,102,231,192
pic_023.jpg,240,200,cabbage,78,68,155,143
pic_023.jpg,240,200,cabbage,159,35,227,98
pic_096.jpg,259,194,cabbage,46,12,221,178
pic_129.jpg,249,202,cabbage,38,23,201,188
pic_076.jpg,259,194,cabbage,70,35,196,179
pic_044.jpg,255,197,cabbage,8,34,163,172
pic_044.jpg,255,197,cabbage,119,12,249,140
pic_056.jpg,259,194,cabbage,89,29,186,188
pic_061.jpg,259,194,cabbage,50,38,185,157
pic_061.jpg,259,194,cabbage,181,29,259,152
pic_061.jpg,259,194,cabbage,28,137,126,194
pic_061.jpg,259,194,cabbage,123,125,217,194
pic_061.jpg,259,194,cabbage,1,34,51,160
pic_136.jpg,258,195,cabbage,88,71,166,140
pic_008.jpg,225,225,cabbage,5,11,225,213
pic_119.jpg,284,177,cabbage,8,5,284,159
pic_039.jpg,299,168,cabbage,51,64,149,152
pic_039.jpg,299,168,cabbage,165,51,266,137
pic_011.jpg,210,139,cabbage,63,13,160,104
pic_068.jpg,259,194,cabbage,63,20,229,130
pic_101.jpg,259,194,cabbage,68,79,121,131
pic_101.jpg,259,194,cabbage,127,86,193,143
pic_101.jpg,259,194,cabbage,42,122,103,179
pic_101.jpg,259,194,cabbage,24,30,74,83
pic_101.jpg,259,194,cabbage,78,23,134,80
pic_101.jpg,259,194,cabbage,126,2,185,46
pic_101.jpg,259,194,cabbage,172,33,218,81
pic_101.jpg,259,194,cabbage,209,8,259,64
pic_101.jpg,259,194,cabbage,99,132,160,188
pic_093.jpg,259,194,cabbage,28,34,136,125
pic_093.jpg,259,194,cabbage,138,41,254,174
pic_110.jpg,259,194,cabbage,81,53,184,143
pic_033.jpg,310,162,cabbage,32,5,193,160
pic_033.jpg,310,162,cabbage,188,32,310,156
pic_088.jpg,259,194,cabbage,48,22,212,184
pic_069.jpg,259,194,cabbage,21,19,242,179
pic_132.jpg,262,192,cabbage,25,21,254,160
pic_009.jpg,160,160,cabbage,11,11,149,141
pic_141.jpg,275,183,cabbage,67,24,204,148
